Character	Alternate Names		Page	Role	Gender	Friendly															Hostile																	
Chapter 1 -- Pillow Talk																																						
Ailill Mac Mágach				"King of Connacht in Cruachan, a son of Rus Ruad"	M	Medb	Rus Ruad	Finnbennach Ai	Mata Muiresc	Finn 2	Coirpre Niafer	Mac Roth																										
Medb				Quenn of Connacht in Cruachan	F	Ailill Mac Mágach	Eochaid Feidlech	Derbriu	Ethne 2	Ele	Clothru	Muguin 4	Finn 2	Coirpre Niafer	Conchobor	Eochaid Bec	Rus Ruad	Mac Roth	Dáire Mac Fiachna	Donn Cuailnge																		
Eochaid Feidlech				"High King of Ireland, the son of Finn, son of Finngoll, son of Roth, son of Rigéon, son of Blathacht, son of Beothacht, son of Enna Agnech, son of Aengus Turbech. He had six daughters; Derbriu, Ethne, Ele, Clothru, Muguin and Medb."	M	Finn 1	Finnoman	Finnen	Blathacht	Beothacht	Enna Agnech	Aengus Turbech	Derbriu	Ethne 2	Ele	Clothru	Muguin 4	Medb																				
Finn 1				Medb's ancestor	M	Eochaid Feidlech	Finngoll	Rigéon	Blathacht	Beothacht	Enna Agnech	Aengus Turbech																										
Finngoll				Medb's ancestor	M	Roth	Finn	Blathacht	Beothacht	Enna Agnech	Aengus Turbech																											
Roth				Medb's ancestor	M	Rigéon	Finngoll	Beothacht	Enna Agnech	Aengus Turbech																												
Rigéon				Medb's ancestor	M	Blathacht	Roth	Enna Agnech	Aengus Turbech	Beothacht																												
Blathacht				Medb's ancestor	M	Beothacht	Rigéon	Enna Agnech	Aengus Turbech																													
Beothacht				Medb's ancestor	M	Enna Agnech	Blathacht	Aengus Turbech																														
Enna Agnech				Medb's ancestor	M	Aengus Turbech	Beothacht																															
Aengus Turbech				Medb's ancestor	M	Enna Agnech																																
Derbriu				Medb's sister	F	Ethne 2	Ele	Clothru	Muguin	Medb	Eochaid Feidlech																											
Ethne 2				Medb's sister	F	Derbriu	Ele	Clothru	Muguin	Medb	Eochaid Feidlech																											
Ele				Medb's sister	F	Derbriu	Ethne 2	Clothru	Muguin	Medb	Eochaid Feidlech																											
Clothru				Medb's sister	F	Derbriu	Ethne 2	Ele	Muguin	Medb	Eochaid Feidlech																											
Muguin				Medb's sister	F	Derbriu	Ethne 2	Ele	Clothru	Medb	Eochaid Feidlech																											
Finn 2				"The king of Leinster, Rus Ruad's son, who was sent to woo Medb"	M	Rus Ruad	Medb	Coirpre Niafer																														
Coirpre Niafer				"The king of Temair, another of Rus Ruad's sons also was sent to woo Medb"	M	Rus Ruad	Medb	Finn 2																														
Rus Ruad				"Father of Aililll, Finn and Coirpre Niafer"	M	Ailill Mac Mágach	Coirpre Niafer	Rus Ruad	Medb																													
Conchobor				Son of Fachtna	M	Medb	Fachtna 2																															
Fachtna 2						Conchobor																																
