Character	Alternate Name	Page	Role	Gender	Friendly										Hostile									Familial						
Chapter 1: Táin Bó Cúailnge																														
Ailill		125		M	Medb																			Anlúan	Moccorb	Cet	Én	Bascall	Dóche	
Mágu		125	Ailill's father	M																				Ailill	Anlúan	Moccorb	Cet	Én	Bascall	Dóche
Anlúan		125	Ailill's brother	M																				Moccorb	Cet	Én	Bascall	Dóche		
Moccorb		125	Ailill's brother	M																				Cet	Én	Bascall	Dóche			
Cet		125	Ailill's brother	M																				Én	Bascall	Dóche				
Én		125	Ailill's brother	M																				Bascall	Dóche					
Bascall		125	Ailill's brother	M																				Dóche						
Dóche		125	Ailill's brother	M																										
Cormac Conn Longas		125	Son of Conchobor	M	Conchobor																									
Conchobar		125	King of Ulster	M																										
Medb		125		F	Medb's charioteer																									
Medb's charioteer		126		M																										
Feidelm		126	Poetess/prophetess of Connacht	F	Medb																									
Celtchar mac Uthidir		126	Mentioned in Feidelm's prophecy of the Táin	M	Feidelm																									
Fergus mac Róich	Fergus mac Roeich meic Echdach	126	Mentioned in Feidelm's prophecy of the Táin	M	Feidelm																									
Cú Chulainn	Cú Chulainn mac Súaldaim	127	Mentioned in Feidelm's prophecy of the Táin	M	Feidelm																									
Silend		128	"Daughter of Madchar, where Loch Carrcín got it's name"	F																										
Madchar		129	Father of Silend	M																				Silend						
Chapter 2: The Story in Due Order																														
Medb		129		F	Medb's charioteer	Fergus mac Róich																								
Medb's charioteer		129		M																										
Ailill	Ailill of Mag Aí	129		M	Medb	Fergus mac Róich																								
Fergus mac Róich		129	Takes a longer route to give Ulstermen a chance to muster their army	M																										
Cormac Conn Longas		129	son of Conchobor	M																										
Conchobor		129		M	Cormac Conn Longas																									
Conall Cernach		129		M																										
Fíacha mac Fir Fhebe		129	son of Conchobor's daughter	M	Conall Cernach	Conchobor																								
Eochu Feidlech		129	Medb's father	M	Medb																									
Finnabair		129	daughter of Ailill and Medb	F	Medb	Ailill	Flidais																							
Flidais		129		M																										
Maine Máthramail		129	Medb's seven sons	M																				Medb	Maine Aithremail	Maine Mórgor	Maine Mingor	Maine Mo Epirt	Maine Andóe	Maine Cotageib Uile
Maine Aithremail		129	Medb's seven sons	M																				Medb	Maine Mórgor	Maine Mingor	Maine Mo Epirt	Maine Andóe	Maine Cotageib Uile	
Maine Mórgor		129	Medb's seven sons	M																				Medb	Maine Mingor	Maine Mo Epirt	Maine Andóe	Maine Cotageib Uile		
Maine Mingor		129	Medb's seven sons	M																				Medb	Maine Mo Epirt	Maine Andóe	Maine Cotageib Uile			
Maine Mo Epirt	Maine Milscothach	129	Medb's seven sons	M																				Medb	Maine Andóe	Maine Cotageib Uile				
Maine Andóe		129	Medb's seven sons	M																				Medb	Maine Cotageib Uile					
Maine Cotageib Uile		129	Medb's seven sons	M																				Medb						
Findbenn		130	Medb's bull	M																				Medb						
Dubthach	the Boorish	131		M																										
Cú Chulainn	Cú Chulainn mac Súaltaim	131	Gets message from Fergus warning him about Medb and Ailill	M											Eirr	Indell	Foich	Fochlam						Fergus mac Róich	Súaltaim					
Súaltaim		131		M																										
Feidelm Noíchride		131	"Cú Chulainn's ""concubine"""	F	Cú Chulainn																									
Irard mac Anchinnel		132		M	Eirr	Indell	Foich	Fochlam																						
Eirr		132	"Sons of Irard mac Anchinnel, handed Fergus Cuchulainn's with, preceded the hosts (Medb, Ailill, Fergus) to protect them"	M	Indell	Foich	Fochlam																							
Indell		132	Sons of Irard mac Anchinnel	M	Foich	Fochlam																								
Foich		132	"Eirr and Indell's charioteers, killed by Cuchulainn"	M	Fochlam																									
Fochlam		132	"Eirr and Indell's charioteers, killed by Cuchulainn"	M																										
Feidelm Banfháith		133	"Feidelm couldn't see Medb, so Medb ordered the army to chop down a wood"	F	Medb																									
Lóeg		133	Cú Chulainn's charioteer	M	Cú Chulainn																									
Lug of the Fomorians		134		M	Cú Chulainn																									
Eógan mac Durthacht		135		M																										
Chapter 3: The Eulogy of Cú Chulainn																														
Ailill		135		M	Fergus mac Róich	Medb																								
Fergus mac Róich		135		M	Medb																			Cú Chulainn						
Emer		135		F	Cú Chulainn																									
Medb		135		F																										
Cú Chulainn		135		M																										
Chapter 4: The Boyhood Deeds																														
Fergus mac Róich		136	Describes Cuchulainn's boyhood deeds	M																										
Conchobor		136		M																										
Cú Chulainn	Sétanta	136		M											Follomon mac Conchobair									Fergus mac Róich	Conchobor					
Follomon mac Conchobair		136	"Conchobor's son, one of the boys at Emain Macha"	M																										
Ailill		138		M	Fergus mac Róich																									
Chapter 5: The Death of the Boys																														
Fergus mac Róich		138	"Recounts the time Cuchulainn killed 50 of the boys of Emain Macha, Fergus and Conchobor defended him"	M	Conchobor	Cú Chulainn																								
Conchobor		138		M	Cú Chulainn																									
Cú Chulainn		138		M																										
Chapter 6: The Fight between Eógan mac Durthacht and Conchobar																														
Eógan mac Durthacht		138		M																										
Cú Chulainn		138		M																										
Conchobar		138		M	Cú Chulainn																									
Cúscraid Menn Macha		139		M																										
Bricriu		139		M	Cú Chulainn																									
Fergus mac Róich		139		M	Conchobar																			Cú Chulainn						
Cúscraid mac Conchobair		139		M	Cú Chulainn																			Conchobar						
Chapter 7: The fate of the twenty-seven men and the reason why none dared to wound the Ulstermen when they were in their debility																														
Fergus mac Róich		139		M																										
Cú Chulainn		140		M																				Fergus mac Róich	Súaltaim					
Súaltaim		140		M																										
Chapter 8: The killing of the Smith's Hound by Cú Chulainn and the reason why he is called Cú Chulainn																														
Conall Cernach		140		M	Cú Chulainn																									
Fergus mac Róich		140		M																										
Culann the smith		140		M																										
Conchobar		140	Cuchulainn's uncle	M	Culann the smith																									
Cú Chulainn		140	Kills Culann's hound and becomes Cu Chulainn	M	Culann the smith																			Fergus mac Róich	Súaltaim	Conchobar				
Culann's Hound		141		M	Culann the smith										Cú Chulainn															
Cathbad		142	"Druid, names Setanta Cu Chulainn, Conchobar's father"	M	Cú Chulainn																									
Chapter 9: Death of Nechta Scene's Three Sons																														
Fiachu mac Fir Fhebe		142		M	Cú Chulainn																									
Cathbad		142	Conchobar's father	M																				Conchobar						
Conchobar		142		M																										
Cú Chulainn		142	Took up arms	M	Cathbad																			Conchobar						
Ibor		143	Conchobar's charioteer	M	Conchobar	Cú Chulainn																								
Conall Cernach		143		M	Cú Chulainn	Ibor																								
Nechta Scéne		144	from Inber Scene	F																				Fer Ulli mac Lugdach	Fóill	Fannall	Túachell			
Fer Ulli mac Lugdach		144	Nechta Scene's husband	M																				Fóill	Fannall	Túachell				
Fóill	Sly	144	Son of Nechta Scene	M											Cú Chulainn									Fannall	Túachell					
Fannall	Swallow	144	Son of Nechta Scene	M											Cú Chulainn									Túachell						
Túachell	Cunning	144	Son of Nechta Scene	M											Cú Chulainn															
Mugain		147	Led women to meet Cu Chulainn	F	Cú Chulainn																			Conchobar						
Férach		147	"Wife of Conchobar, led women to meet Cu Chulainn"	F	Cú Chulainn																			Conchobar						
Chapter 10: A different Version up to the Death of Órlám																														
Ailill		148		M	Cú Chulainn																									
Cú Chulainn		148	Cut down a tree to obstruct Ailill's progress	M																										
Chapter 11: The Death of Fráech																														
Fráech	Fráech mac Idaid	148		M																										
Medb		148		F	Fráech																									
Cú Chulainn		148	Fights Fraech in the water	M											Fráech															
Chapter 12: Fergus leapt across the oak-tree in his own chariot.																														
Cú Chulainn		149		M																										
Medb		149		F																										
Baiscne		149		M	Medb										Cú Chulainn															
Chapter 13: The Death of Órlám																														
Cú Chulainn		149	Kills Orlam	M																										
Órlám		149	Son of Ailill & Medb	M											Cú Chulainn									Ailill	Medb					
Ailill		149		M	Medb																									
Medb		149		F																										
Fer Teidil	Órlám's charioteer	149		M	Órlám										Cú Chulainn															
Chapter 14: The Death of the three Sons of Gárach																														
Lon		150		M																				Úalu	Diliu					
Úalu		150		M																				Diliu						
Diliu		150		M																										
Mes Lir		150		M	Lon	Úalu	Diliu	Mes Lóech	Mes Lethan																					
Mes Lóech		150		M	Lon	Úalu	Diliu	Mes Lethan																						
Mes Lethan		150		M	Lon	Úalu	Diliu																							
Cú Chulainn		150	Kills all of Garam's sons and their charioteers	M											Lon	Úalu	Diliu	Mes Lir	Mes Lóech	Mes Lethan										
Fer Teidil	Órlám's charioteer	150	Killed by Cu Chulainn	M											Cú Chulainn															
Chapter 15: The Death of the Marten and of the Pet Bird																														
Cú Chulainn		151		M																										
Ailill		151		M	Medb																									
Medb		151		F																										
Medb's marten		151	"Marten on Medb's shoulder, killed by Cu Chulainn"	M	Medb										Cú Chulainn															
Ailill's bird		151	"Ailill's pet bird, killed by Cu Chulainn"	M	Ailill										Cú Chulainn															
Maenén the jester		151	"Jester, killed by Cu Chulainn"	M	Ailill	Medb									Cú Chulainn															
Harpers of Caín Bile		151	"Aillil and Medb thought they were from Ulster, so they were hunted, turned into deer"	M											Ailill	Medb														
Chapter 16: The Death of Lethan																														
Lethan		151		M											Cú Chulainn															
Cú Chulainn		151		M																										
Mulcha		152	Lethan's charioteer	M	Lethan																									
Mórrígan		152		F																										
Black Bull		152		M																										
Forgaimen		152		M	Black Bull																									
Chapter 17: The Death of Lócha																														
Medb		152		F																										
Lócha		152	Medb's handmaid	F	Medb										Cú Chulainn															
Cú Chulainn		152	"Mistakes Locha for Medb, kills Locha"	M																										
Lóthar		152	Medb's cowherd	M	Medb																									
Black Bull		152	Kills Lothar on sight	M											Lóthar															
Chapter 18: The Death of Úalu																														
Úalu		153	Dies in a river	M																										
Medb		153		F																										
Cú Chulainn		153		M											Cronn	Cóemdele	Roán	Roae												
Cronn		153		M	Cóemdele																									
Cóemdele		153		M																										
Roán		153	Two historians of the Tain	M	Roae																									
Roae		153	Two historians of the Tain	M																										
Chapter 19: The Harrying of Cúailnge																														
Medb		153	Splits the army in two	F	Ailill																									
Ailill		153		M																										
Fergus mac Róich	Fergus mac Rossa Róich	153	Sleeps with Medb	M	Medb	Ailill																								
Cuillius		153	Ailill's charioteer	M	Ailill										Cú Chulainn															
Cú Chulainn	Nessa's grandson	156		M											Ailill															
Mane mac Ailella		156		M	Ailill	Medb	Fergus mac Róich																							
Láeg		157		M	Cú Chulainn																									
Maine		157	"Maine = Mane??, killed by Cu Chulainn"	M											Cú Chulainn									Ailill	Medb					
Lugaid	Lugaid mac Nóis uí Lomairc Allchomaig	157		M	Cú Chulainn	Fergus mac Róich	Ailill																							
Conchobar		158		M																				Cú Chulainn						
Mac Roth		160	Aill and Medb's messenger	M	Medb	Ailill	Láeg																							
Chapter 20: The death of Etarcomol and the terms offered by the men of Ireland as told to Cú Chulainn by Fergus																														
Fergus mac Róich		160		M																										
Etarcomol		160		M	Fergus mac Róich																			Ed	Leithrinn	Ailill	Medb			
Ed		160		M	Leithrinn																									
Leithrinn		160		F																										
Ailill		160		M	Medb																									
Medb		160		F																										
Cú Chulainn		160		M	Fergus mac Róich										Etarcomol															
Láeg		160		M	Cú Chulainn	Fergus mac Róich																								
Etarcomol's charioteer		163		M	Etarcomol	Fergus mac Róich																								
Chapter 21: The Death of Nad Crantail																														
Cú Chulainn		163		M	Lugaid										Nad Crantail															
Lugaid		163		M	Maine																									
Maine		163	Son of Ailill	M																				Ailill						
Medb		163		F	Ailill	Cú Roí mac Dáire	Nad Crantail																							
Ailill		163		M																										
Cú Roí mac Dáire		163		M																										
Nad Crantail		163	Only fought for Connacht if Findabair was promised to him	M	Medb	Maine Andoí																								
Cú Roí's follower		163		M	Medb	Maine																								
Maine Andoí		164		M	Nad Crantail																									
Findabair		164		F																				Ailill	Medb					
Fergus mac Róich		164		M	Nad Crantail																			Cú Chulainn						
Fíacha mac Fir Fhebe		164		M	Cú Chulainn	Fergus mac Róich																								
Láeg		165		M	Cú Chulainn																									
Chapter 22: The Finding of the Bull according to this Version																														
Medb		166		F	Ailill	Buide mac Báin																								
Cú Chulainn		166		M											Buide mac Báin															
Buide mac Báin		166		M																										
Ailill		166		M																										
Chapter 23: The Death of Redg the Satirist																														
Redg		167	Satirist	M	Ailill										Cú Chulainn															
Ailill		167		M																										
Cú Chulainn		167		M																										
Nath Coirpthe		167	Killed by Cu Chulainn	M											Cú Chulainn															
Cruthen		167	Killed by Cu Chulainn	M											Cú Chulainn															
Meic Búachalla		167	Killed by Cu Chulainn	M											Cú Chulainn															
Marc		167	Killed by Cu Chulainn	M											Cú Chulainn															
Meille		167	Killed by Cu Chulainn	M											Cú Chulainn															
Bodb		167	Killed by Cu Chulainn	M											Cú Chulainn															
Bogaine		167	Killed by Cu Chulainn	M											Cú Chulainn															
Focherda		167	Killed by Cu Chulainn	M											Cú Chulainn															
Medb		167	Fought battle against Findmor	F	Ailill																									
Findmór		167	Celtchar Mac Uthidir's wife	F											Medb															
Celtchar mac Uthidir		167		M	Findmór																									
Forgeman		168	"Herdman, drove bull into a narrow passage"	M	Ailill	Medb									Black bull															
Lugiad		168		M	Ailill	Cú Chulainn																								
Fergus mac Róich		168		M	Ailill																			Cú Chulainn						
Two Roth		168	Killed by Cu Chulainn	M											Cú Chulainn															
Two Lúans		168	Killed by Cu Chulainn	M											Cú Chulainn															
Two Thieves		168	Killed by Cu Chulainn	F											Cú Chulainn															
Ten Jesters		168	Killed by Cu Chulainn	M											Cú Chulainn															
Ten Cupbearers		168	Killed by Cu Chulainn	M											Cú Chulainn															
Ten Fergus		168	Killed by Cu Chulainn	M											Cú Chulainn															
Six Fedelm		168	Killed by Cu Chulainn	M											Cú Chulainn															
Six Fiachrach		168	Killed by Cu Chulainn	M											Cú Chulainn															
Chapter 24: The Meeting of Cú Chulainn and Finnabair																														
Maine Aithremail		168		M	Láeg																									
Láeg		168		M																										
Ailill		169		M	Maine Aithremail	Medb																								
Medb		169		F	Maine Aithremail																									
Lugaid		169		M	Medb	Ailill	Cú Chulainn																							
Cú Chulainn		169		M	Láeg																									
Jester		169	Met Cu Chulainn while disguised as the king	M	Ailill	Medb									Cú Chulainn															
Finnabair		169	"Maid, Cu Chulainn killed her"	F	Jester	Ailill	Medb								Cú Chulainn															
Chapter 25: The Combat of Munremar and Cú Roí																														
Fergus mac Róich		170		M	Ailill	Medb																								
Ailill		170		M	Medb																									
Medb		170		F																										
Cú Ruí mac Dáire		170	Fought Munremar/made peace with him 	M	Medb	Ailill																								
Munremar mac Gerrcinn		170		M											Cú Ruí mac Dáire															
Fer Diad		170		M																										
Cú Chulainn		170	Allowed Medb and Ailill to move camp	M	Medb	Ailill																								
Chapter 26: The Combat of Munremar and Cú Roí																														
Cú Chulainn		170		M	Fiachna Fuilech mac Fir Fhebi	Fíachach Fialdána mac Fir Fhebi																								
Fiachna Fuilech mac Fir Fhebi		170		M																										
Fíachach Fialdána mac Fir Fhebi		170	Fiachna's brother	M																				Fiachna Fuilech mac Fir Fhebi						
Ailill		170		M	Fergus mac Róich										Fiachna Fuilech mac Fir Fhebi	Fíachach Fialdána mac Fir Fhebi														
Fergus mac Róich		170		M																										
Chapter 27: The Bloodless Fight of Rochad																														
Cú Chulainn		171		M																										
Láeg		171		M	Cú Chulainn																									
Rochad mac Fathemain		171	Decided not to fight and married Finnabair	M	Cú Chulainn	Láeg																								
Finnabair		171	In love with Rochad	F	Rochad mac Fathemain																			Ailill	Medb					
Ailill		171		M	Medb	Rochad mac Fathemain																								
Medb		171		F	Rochad mac Fathemain																									
Fergus mac Róich		171		M	Medb	Ailill	Rochad mac Fathemain																							
Chapter 28: The Death of the Royal Mercenaries																														
Ailill		172		M	Medb																									
Medb		172		F																										
Cú Chulainn		172		M																										
Lugaid		172		M	Medb	Ailill	Cú Chulainn																							
Three Dubs from Imlech		172	Mercenaries sent by Medb to assassinate Cu Chulainn	M											Cú Chulainn															
Three Dergs from Sruthair		172	Mercenaries sent by Medb to assassinate Cu Chulainn	M											Cú Chulainn															
Chapter 29: The Death of Cúr																														
Cúr mac Da Lath		172		M	Medb	Ailill									Cú Chulainn															
Ailill		172		M	Medb																									
Medb		172		F																										
Cú Chulainn		172		M																										
Cormac Cond Longas		173		M	Cúr mac Da Lath																									
Chapter 30: A List of Feats																														
Cú Chulainn		173		M	Fíacha mac Fir Fhebe										Cúr mac Da Lath															
Cúr mac Da Lath		173	Killed in single combat by Cuchulainn	M	Ailill																									
Fíacha mac Fir Fhebe		173		M																										
Ailill		173		M																										
Láth mac Da Bró		173	Killed in single combat by Cuchulainn	M	Ailill										Cú Chulainn															
Foirc mac Trí nAignech		173	Killed in single combat by Cuchulainn	M	Ailill										Cú Chulainn															
Srubgaile mac Eóbith		173	Killed in single combat by Cuchulainn	M	Ailill										Cú Chulainn															
Chapter 31: The Death of Feb Baeth																														
Láeg		173	Sent to speak with Lugaid to find out who will fight Cuchulainn next	M	Cú Chulainn																									
Cú Chulainn		173		M											Fer Báeth															
Lugaid	Lugaid mac Nóis uí Lomairc	173		M	Láeg	Fer Báeth																								
Fer Báeth		174	Cuchulainn's foster brother	M	Medb	Ailill																								
Finnabair		174		F	Fer Báeth																			Ailill	Medb					
Ailill		174		M	Medb																									
Medb		174		F																										
Fergus mac Róich		175		M	Medb	Ailill	Fer Báeth																	Cú Chulainn						
Chapter 32: The Combat of Láiríne mac Nóis																														
Lugaid	Lugaid mac Nóis uí Lomairc	175		M	Medb	Ailill																								
Ailill		175		M	Medb																									
Medb		175		F																										
Finnabair		175		F																				Medb	Ailill					
Cú Chulainn		175		M																										
Láríne mac Nóis		176	Brother to king of munster	M	Medb	Ailill	Finnabair																							
Lugaid King of Munster		176	Kind of munster	M	Medb	Ailill	Cú Chulainn																	Lugaid King of Munster						
Chapter 33: The Conversation of the Mórrígan with Cú Chulainn																														
Cú Chulainn		176		M											Mórrígan															
Mórrígan		176	Tries to deceive Cuchulainn	F																										
Chapter 34: The Death of Lóch Mac Mo Femis																														
Lóch mac Emonis		177		M	M																			Long mac Ebonis						
Long mac Ebonis		177	Loch's brother	M																										
Cú Chulainn		177		M											Long mac Ebonis	Lóch mac Emonis	Medb	Ailill												
Ailill		177		M	Medb																									
Medb		177		F																										
The seven Maines		178		M	Medb	Ailill																								
Lethrend		178	Ailill's groom	M	Ailill																									
Fergus mac Róich		178	Band of warriors killed by Cuchulainn	M	Medb	Ailill																		Cú Chulainn						
Seven Conalls		178	Band of warriors killed by Cuchulainn	M	Medb	Ailill									Cú Chulainn															
Seven Óengus		178	Band of warriors killed by Cuchulainn	M	Medb	Ailill									Cú Chulainn															
Seven Úargus		178	Band of warriors killed by Cuchulainn	M	Medb	Ailill									Cú Chulainn															
Seven Celtre		178	Band of warriors killed by Cuchulainn	M	Medb	Ailill									Cú Chulainn															
Eight Feic		178	Band of warriors killed by Cuchulainn	M	Medb	Ailill									Cú Chulainn															
Ten Ailill		178	Band of warriors killed by Cuchulainn	M	Medb	Ailill									Cú Chulainn															
Ten Delbaeth		178	Band of warriors killed by Cuchulainn	M	Medb	Ailill									Cú Chulainn															
Ten Tasach		178	Band of warriors killed by Cuchulainn	M	Medb	Ailill									Cú Chulainn															
Traigthrén		179	Messenger	M	Cú Chulainn	Medb																								
Láeg		179		M	Cú Chulainn																									
Two Glas Sinnas		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn									Biccride						
Biccride		179	Father of the two Glas Sinnas	M																										
Two Ardáns		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn									Licc						
Licc		179	Father of the two Ardans	M																										
Two Glas Ognas		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn									Crond						
Crond		179	Father of the two Glas Ognas	M																										
Drúcht		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn															
Delt		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn															
Dathen		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn															
Téa		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn															
Tascur		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn															
Tualang		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn															
Taur		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn															
Glese		179	Part of Medb's ambush on Cuchulainn	M	Medb										Cú Chulainn															
Two Daigres		179	Killed by Cuchulainn while pitching camp	M											Cú Chulainn															
Two Ánles		179	Killed by Cuchulainn while pitching camp	M											Cú Chulainn															
Four Dúngais Imlichs		179	Killed by Cuchulainn while pitching camp	M											Cú Chulainn															
Gabrán		180	"Poet, said there would be a lack of water"	M																										
Bricriu Nemthenga mac Carbada		180	Incited Cuchulainn	M	Cú Chulainn																									
Fergus mac Róich		180		M	Medb	Ailill	Gabrán																							
Two Crúaids		181	Violated fair play and attacked Cuchulainn	M											Cú Chulainn															
Two Calads		181	Violated fair play and attacked Cuchulainn	M											Cú Chulainn															
Derothor		181	Violated fair play and attacked Cuchulainn	M											Cú Chulainn															
Chapter 35: The Healing of the Mórrígan																														
Cú Chulainn		181		M																										
Mórrígan		181		F											Cú Chulainn															
Fergus mac Róich		182		M	Cú Chulainn	Medb																								
Five men of Cend Coriss	Five men of Dún Chind Coross	182		M											Cú Chulainn															
Fota		182	Killed by Cuchulainn in his field	M											Cú Chulainn															
Bó Mailce		182	Killed by Cuchulainn on his ford	M											Cú Chulainn															
Salach		182	Killed by Cuchulainn in his marsh	M											Cú Chulainn															
Muinne		182	Killed by Cuchulainn in his stronghold	M											Cú Chulainn															
Lúar		182	Killed by Chuchulainn in Lethbera	M											Cú Chulainn															
Fer Toíthle		182	Killed by Cuchulainn in Toithle	M											Cú Chulainn															
Traig		182	"Three Druids and their wives, killed by Cuchulainn"	M	Col										Cú Chulainn															
Dorna		182	"Three Druids and their wives, killed by Cuchulainn"	M	Mebal										Cú Chulainn															
Derna 		182	"Three Druids and their wives, killed by Cuchulainn"	M	Eraise										Cú Chulainn															
Col		182	"Three Druids and their wives, killed by Cuchulainn"	F											Cú Chulainn															
Mebal		182	"Three Druids and their wives, killed by Cuchulainn"	F											Cú Chulainn															
Eraise		182	"Three Druids and their wives, killed by Cuchulainn"	F											Cú Chulainn															
Medb		182		F											Cú Chulainn															
Chapter 36: The Scythed Chariot and Breslech Mór Maige Muirthemne																														
Cú Chulainn		182		M																										
Láeg	Láeg mac Ríangabra	182		M	Cú Chulainn																									
Lug mac Ethlend		183	Cuchulainn's father from the fairy mounds	M																				Cú Chulainn						
Chapter 37: The Incantation of Lug																														
Lug mac Ethlend		184	Cuchulainn's father from the fairy mounds	M																				Cú Chulainn						
Cú Chulainn		184		M																				Conchobar						
Fallamain	Fallamain mac Conchobair	184	Son of Conchobar	M																				Conchobar						
Conchobar		184		M																										
Ailill		184		M											Fallamain															
Láeg	Láeg mac Ríangabra	185		M	Cú Chulainn																									
Simon Magnus		185		M																										
